epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,7256.87,0.78494,0.52534,1.06704,0.73646,0.62174,0.69252,0.45193,1.38036,1.19432,1.77025,0.000297125,0.000297125,0.000297125
79,7347.19,0.7762,0.51877,1.05692,0.78422,0.62129,0.70677,0.45966,1.35864,1.1331,1.74573,0.00028475,0.00028475,0.00028475
80,7435.59,0.79918,0.52905,1.07795,0.74922,0.62323,0.69553,0.45081,1.37289,1.12164,1.75613,0.000272375,0.000272375,0.000272375
81,7527.69,0.77515,0.52049,1.06071,0.7134,0.63032,0.68917,0.4482,1.36899,1.16853,1.76807,0.00026,0.00026,0.00026
82,7617.88,0.75979,0.50222,1.05192,0.78121,0.59642,0.69487,0.46331,1.3466,1.19772,1.74102,0.000247625,0.000247625,0.000247625
83,7709.82,0.74624,0.50201,1.04487,0.74194,0.62092,0.70386,0.46435,1.35401,1.17157,1.75575,0.00023525,0.00023525,0.00023525
84,7807.59,0.7343,0.48804,1.047,0.78524,0.60014,0.70394,0.46405,1.34724,1.14662,1.76401,0.000222875,0.000222875,0.000222875
85,7900.67,0.73136,0.48674,1.03441,0.78112,0.59797,0.69984,0.45726,1.35859,1.20219,1.76444,0.0002105,0.0002105,0.0002105
86,7992.78,0.7067,0.46866,1.03165,0.77363,0.62676,0.70889,0.46531,1.33631,1.1452,1.76707,0.000198125,0.000198125,0.000198125
87,8090.25,0.70717,0.47408,1.02678,0.80489,0.61615,0.70986,0.46522,1.33498,1.12698,1.75591,0.00018575,0.00018575,0.00018575
88,8184.06,0.71857,0.47649,1.02911,0.77295,0.62336,0.70271,0.46209,1.33918,1.17126,1.75886,0.000173375,0.000173375,0.000173375
89,8275.47,0.70152,0.46084,1.01827,0.8265,0.59019,0.70473,0.46847,1.33064,1.15606,1.75652,0.000161,0.000161,0.000161
90,8368.42,0.68459,0.46036,1.01206,0.7688,0.62165,0.70481,0.46561,1.33606,1.1356,1.78534,0.000148625,0.000148625,0.000148625
91,8457.66,0.66143,0.4012,1.04843,0.76921,0.59778,0.6887,0.45697,1.3369,1.14493,1.77082,0.00013625,0.00013625,0.00013625
92,8547.63,0.64004,0.38397,1.03907,0.71703,0.62093,0.69269,0.45997,1.3388,1.17694,1.75989,0.000123875,0.000123875,0.000123875
93,8637.76,0.61489,0.38476,1.02563,0.80504,0.59904,0.69782,0.46764,1.3169,1.14731,1.774,0.0001115,0.0001115,0.0001115
94,8727.74,0.61033,0.37058,1.02522,0.75038,0.62875,0.69602,0.46744,1.31525,1.18036,1.77874,9.9125e-05,9.9125e-05,9.9125e-05
95,8818.58,0.59046,0.36597,1.01799,0.81113,0.59025,0.70127,0.47082,1.32776,1.16786,1.80195,8.675e-05,8.675e-05,8.675e-05
96,8910.36,0.59025,0.35663,1.00192,0.80413,0.60293,0.70447,0.46983,1.32409,1.15994,1.80265,7.4375e-05,7.4375e-05,7.4375e-05
97,9002.93,0.57819,0.35402,0.99506,0.80209,0.60429,0.70215,0.47603,1.31177,1.18045,1.79462,6.2e-05,6.2e-05,6.2e-05
98,9090.78,0.57546,0.35087,0.99766,0.76913,0.6225,0.70227,0.47302,1.31505,1.16697,1.8029,4.9625e-05,4.9625e-05,4.9625e-05
99,9182.25,0.57131,0.35027,1.00235,0.8101,0.59409,0.70295,0.47374,1.31138,1.16498,1.81498,3.725e-05,3.725e-05,3.725e-05
100,9273.87,0.56587,0.34841,0.99017,0.79555,0.59765,0.69769,0.47322,1.30766,1.17288,1.81129,2.4875e-05,2.4875e-05,2.4875e-05
