epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,3049.86,1.74432,1.07971,0.98689,0.04662,0.23125,0.055,0.02874,1.49529,69.1779,0.88477,0.00048275,0.00048275,0.00048275
64,3097.34,1.76498,1.09785,0.99001,0.05893,0.47708,0.06718,0.04238,1.497,58.3595,0.88376,0.000470375,0.000470375,0.000470375
65,3145.24,1.7313,1.06603,0.98226,0.03683,0.23333,0.04667,0.02624,1.44999,66.0072,0.88572,0.000458,0.000458,0.000458
66,3197.95,1.73562,1.06819,0.98455,0.06904,0.19375,0.06042,0.03382,1.37886,65.7013,0.86406,0.000445625,0.000445625,0.000445625
67,3246.08,1.69638,1.04249,0.97806,0.06166,0.27917,0.06192,0.03314,1.38241,65.4704,0.8568,0.00043325,0.00043325,0.00043325
68,3294.27,1.70743,1.0399,0.98099,0.0788,0.2875,0.06751,0.03507,1.40339,70.9663,0.8634,0.000420875,0.000420875,0.000420875
69,3340.07,1.71239,1.04779,0.98313,0.08519,0.30208,0.07085,0.03557,1.47691,66.7659,0.87922,0.0004085,0.0004085,0.0004085
70,3387.43,1.7084,1.05549,0.98044,0.07173,0.22789,0.0584,0.03347,1.44498,66.0376,0.88702,0.000396125,0.000396125,0.000396125
71,3433.73,1.69824,1.04827,0.97202,0.05906,0.28732,0.05548,0.03133,1.47586,66.1554,0.88003,0.00038375,0.00038375,0.00038375
72,3479.67,1.67482,1.00974,0.97655,0.08851,0.49792,0.07923,0.05,1.32365,66.7979,0.8443,0.000371375,0.000371375,0.000371375
73,3525.52,1.65671,1.01698,0.97098,0.05803,0.56503,0.05875,0.03517,1.44563,72.284,0.86733,0.000359,0.000359,0.000359
74,3572.75,1.65829,1.01118,0.96515,0.06964,0.51667,0.06672,0.03494,1.48253,65.8058,0.8763,0.000346625,0.000346625,0.000346625
75,3619.17,1.66614,1.01705,0.9689,0.06203,0.26667,0.06009,0.03613,1.4064,74.8839,0.86706,0.00033425,0.00033425,0.00033425
76,3665.17,1.64823,0.99516,0.96469,0.09476,0.27292,0.08169,0.04344,1.40851,69.1207,0.85936,0.000321875,0.000321875,0.000321875
77,3713.4,1.63494,0.99599,0.96426,0.06685,0.27708,0.0612,0.03578,1.45593,69.0853,0.87175,0.0003095,0.0003095,0.0003095
78,3759.46,1.63503,0.99821,0.9629,0.05692,0.22292,0.05854,0.03526,1.37196,69.8846,0.85362,0.000297125,0.000297125,0.000297125
