epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,5956.92,0.98134,0.71766,1.13616,0.68431,0.61949,0.68429,0.43278,1.406,1.16136,1.59183,0.000346625,0.000346625,0.000346625
75,6035.21,0.95584,0.68498,1.12464,0.68382,0.62899,0.67958,0.43168,1.4171,1.16265,1.59368,0.00033425,0.00033425,0.00033425
76,6113.48,0.95629,0.6895,1.12822,0.7063,0.61915,0.68644,0.43114,1.41133,1.112,1.61273,0.000321875,0.000321875,0.000321875
77,6191.5,0.92738,0.66515,1.10615,0.67601,0.62162,0.68045,0.4327,1.38964,1.15181,1.5952,0.0003095,0.0003095,0.0003095
78,6271.77,0.93816,0.67426,1.11531,0.75565,0.61603,0.69147,0.43704,1.39369,1.14251,1.59639,0.000297125,0.000297125,0.000297125
79,6352.63,0.91131,0.66329,1.09805,0.69536,0.63413,0.68571,0.43593,1.40313,1.13537,1.61135,0.00028475,0.00028475,0.00028475
80,6430.32,0.94264,0.6772,1.12112,0.74928,0.58285,0.68792,0.44116,1.3917,1.12137,1.60931,0.000272375,0.000272375,0.000272375
81,6514.28,0.91429,0.65691,1.09941,0.70101,0.63242,0.6866,0.43343,1.41302,1.1349,1.62875,0.00026,0.00026,0.00026
82,6597.52,0.90692,0.63983,1.09589,0.73265,0.63483,0.68312,0.43691,1.38525,1.14854,1.60321,0.000247625,0.000247625,0.000247625
83,6675.48,0.8872,0.63849,1.08916,0.72217,0.60303,0.68131,0.43526,1.39876,1.13836,1.61987,0.00023525,0.00023525,0.00023525
84,6754.14,0.88622,0.63392,1.09228,0.71235,0.61089,0.68716,0.44401,1.39169,1.15959,1.62214,0.000222875,0.000222875,0.000222875
85,6838.35,0.88123,0.62862,1.08473,0.66379,0.63593,0.68789,0.44001,1.3766,1.13364,1.60931,0.0002105,0.0002105,0.0002105
86,6916.25,0.85209,0.60418,1.07192,0.71397,0.62374,0.68919,0.44362,1.38781,1.14141,1.62247,0.000198125,0.000198125,0.000198125
87,6994.89,0.85434,0.60819,1.07112,0.73194,0.61564,0.6931,0.45077,1.36544,1.11878,1.60086,0.00018575,0.00018575,0.00018575
88,7077.89,0.85552,0.61014,1.07017,0.71303,0.63916,0.69888,0.44554,1.37148,1.11665,1.62181,0.000173375,0.000173375,0.000173375
89,7155.64,0.84467,0.59294,1.06012,0.73236,0.62356,0.68857,0.44588,1.37436,1.14799,1.6107,0.000161,0.000161,0.000161
90,7233.38,0.81932,0.59828,1.04633,0.70247,0.63221,0.67941,0.44567,1.35451,1.1426,1.60086,0.000148625,0.000148625,0.000148625
91,7312.73,0.80133,0.54151,1.08057,0.72638,0.59679,0.67591,0.43939,1.38941,1.14586,1.65096,0.00013625,0.00013625,0.00013625
92,7392.1,0.77285,0.52213,1.06717,0.74929,0.60593,0.68668,0.44026,1.36652,1.16094,1.62382,0.000123875,0.000123875,0.000123875
93,7475.07,0.77109,0.51124,1.06356,0.71505,0.62286,0.69005,0.4488,1.36432,1.13004,1.63183,0.0001115,0.0001115,0.0001115
94,7557.39,0.75051,0.49484,1.05284,0.74463,0.60834,0.68896,0.44742,1.36301,1.16139,1.63432,9.9125e-05,9.9125e-05,9.9125e-05
95,7635.48,0.72658,0.48648,1.0496,0.74242,0.61367,0.69524,0.452,1.34894,1.13632,1.63496,8.675e-05,8.675e-05,8.675e-05
96,7726.22,0.73134,0.4834,1.0363,0.71544,0.61402,0.69056,0.44858,1.34915,1.15988,1.63094,7.4375e-05,7.4375e-05,7.4375e-05
97,7804.63,0.72006,0.47083,1.03222,0.73002,0.63312,0.70021,0.45046,1.34466,1.15515,1.6354,6.2e-05,6.2e-05,6.2e-05
98,7888.12,0.71422,0.47564,1.03,0.72931,0.62211,0.69136,0.45106,1.34415,1.15109,1.62727,4.9625e-05,4.9625e-05,4.9625e-05
99,7971.48,0.71101,0.47714,1.03303,0.7221,0.62218,0.68515,0.45042,1.34684,1.14604,1.63782,3.725e-05,3.725e-05,3.725e-05
100,8055.3,0.70955,0.46689,1.02741,0.72402,0.62031,0.68926,0.45069,1.34805,1.15109,1.64445,2.4875e-05,2.4875e-05,2.4875e-05
